cpu,num_downloads,python_version,pip_version,glibc_version,pip-major,pip-minor,glibc_major,glibc_minor,manylinux_2_27,manylinux_2_24,manylinux2014,manylinux2010,manylinux1,policy
x86_64,94,3.2,7.1,2.9,7,1,2,9,FALSE,FALSE,FALSE,FALSE,FALSE,none
aarch64,94,3.9,21.0,2.30,21,0,2,30,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
armv7l,94,3.8,20.1,2.19,20,1,2,19,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
armv7l,94,3.6,19.3,2.24,19,3,2,24,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
i686,94,3.8,19.2,2.23,19,2,2,23,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,94,3.6,20.0,2.18,20,0,2,18,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
aarch64,94,3.5,8.1,2.9,8,1,2,9,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,93,3.6,20.3b1,2.31,20,3,2,31,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,93,3.9,19.0,2.32,19,0,2,32,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
i686,93,3.5,9.0,2.17,9,0,2,17,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
armv7l,93,2.7,19.2,2.19,19,2,2,19,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
ppc64le,93,3.9,20.1,2.33,20,1,2,33,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
s390x,93,2.7,18.1,2.28,18,1,2,28,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,92,2.7,7.0,2.7,7,0,2,7,FALSE,FALSE,FALSE,FALSE,FALSE,none
armv5tel,92,2.7,19.3,2.15,19,3,2,15,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
ppc64le,92,3.6,20.0,2.28,20,0,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
armv7l,92,3.5,20.3,2.31,20,3,2,31,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
armv7l,92,2.7,20.3,2.26,20,3,2,26,FALSE,TRUE,FALSE,FALSE,FALSE,manylinux_2_24
s390x,92,3.9,21.0,2.31,21,0,2,31,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,91,3.8,20.3,2.18,20,3,2,18,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
aarch64,91,2.7,9.0,2.29,9,0,2,29,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
ppc64le,91,3.6,20.2,2.28,20,2,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
s390x,91,3.9,20.1,2.32,20,1,2,32,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,91,2.7,19.2,2.29,19,2,2,29,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
aarch64,91,3.7,20.3b1,2.26,20,3,2,26,FALSE,TRUE,FALSE,FALSE,FALSE,manylinux_2_24
s390x,90,3.8,19.3,2.31,19,3,2,31,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
armv5tejl,90,3.5,9.0,2.24,9,0,2,24,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
i686,90,3.9,18.1,2.31,18,1,2,31,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
ppc64le,90,3.6,20.1,2.17,20,1,2,17,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,90,3.6,20.2b1,2.17,20,2,2,17,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,90,2.7,20.2,2.25,20,2,2,25,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
s390x,89,2.7,9.0,2.31,9,0,2,31,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,89,3.6,20.3b1,2.27,20,3,2,27,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,89,2.7,20.1,2.33,20,1,2,33,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,89,3.9,20.1,2.24,20,1,2,24,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
i686,89,2.7,9.0,2.25,9,0,2,25,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
i686,89,3.5,19.0,2.23,19,0,2,23,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,89,3.8,19.2,2.18,19,2,2,18,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,89,3.10,20.1,2.32,20,1,2,32,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,89,3.5,20.3,2.21,20,3,2,21,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
i686,88,3.8,19.2,2.24,19,2,2,24,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
armv7l,88,3.5,19.1,2.19,19,1,2,19,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,88,3.6,20.2b1,2.27,20,2,2,27,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,88,3.9,19.2,2.17,19,2,2,17,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
i686,88,2.7,19.3,2.20-2014,19,3,2,20,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,88,3.8,20.2,2.14,20,2,2,14,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
ppc64le,88,2.7,9.0,2.31,9,0,2,31,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
i686,88,3.6,19.2,2.23,19,2,2,23,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
i686,87,3.6,18.1,2.30,18,1,2,30,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
aarch64,87,3.7,10.0,2.24,10,0,2,24,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
i686,87,3.6,21.0,2.24,21,0,2,24,FALSE,TRUE,FALSE,FALSE,FALSE,manylinux_2_24
s390x,87,2.7,19.3,2.17,19,3,2,17,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,87,2.7,10.0,2.21,10,0,2,21,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,87,3.8,10.0,2.17,10,0,2,17,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,87,3.4,18.1,2.31,18,1,2,31,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,87,3.5,10.0,2.15,10,0,2,15,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
i686,87,2.7,20.1,2.19,20,1,2,19,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
armv7l,87,2.7,20.3,2.17,20,3,2,17,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
i686,86,3.8,20.2,2.30,20,2,2,30,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
armv6l,86,3.5,20.2,2.24,20,2,2,24,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
i686,86,3.6,18.1,2.31,18,1,2,31,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
armv6l,86,3.8,18.1,2.28,18,1,2,28,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
ppc64le,85,3.4,19.1,2.22,19,1,2,22,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,85,3.8,10.0,2.24,10,0,2,24,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,85,3.7,8.0,2.17,8,0,2,17,FALSE,FALSE,FALSE,FALSE,FALSE,none
armv6l,85,3.6,18.1,2.24,18,1,2,24,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
aarch64,85,2.7,20.2,2.24,20,2,2,24,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
aarch64,85,3.8,19.2,2.24,19,2,2,24,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
armv7l,85,3.7,20.1,2.31,20,1,2,31,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,85,2.7,6.0,2.29,6,0,2,29,FALSE,FALSE,FALSE,FALSE,FALSE,none
armv7l,84,3.9,20.3,2.27,20,3,2,27,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
armv8l,84,2.7,20.3,2.31,20,3,2,31,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,84,2.7,20.0,2.13,20,0,2,13,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,84,3.5,19.2,2.31,19,2,2,31,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,84,3.5,19.2,2.12,19,2,2,12,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,84,3.9,21.1,2.28,21,1,2,28,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
armv7l,84,3.5,8.1,2.4,8,1,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,none
aarch64,84,3.9,20.3,2.24,20,3,2,24,FALSE,TRUE,FALSE,FALSE,FALSE,manylinux_2_24
x86_64,83,3.9,19.1,2.30,19,1,2,30,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
ppc64le,83,2.7,19.3,2.28,19,3,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,83,2.7,7.0,2.4,7,0,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,none
ppc64le,83,3.7,19.2,2.17,19,2,2,17,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
i686,83,3.7,20.0,2.29,20,0,2,29,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
armv7l,83,3.5,19.1,2.26,19,1,2,26,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
s390x,82,3.9,20.1,2.33,20,1,2,33,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
i686,82,2.7,18.1,2.27,18,1,2,27,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,82,3.4,9.0,2.15,9,0,2,15,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
s390x,82,3.6,20.3,2.17,20,3,2,17,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,82,3.6,9.0,2.13,9,0,2,13,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
